PERMNO,date,NAMEENDT,SHRCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,PERMCO,CUSIP,NWPERM,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
61241,01/04/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,9.68,9.9,9.7,18748700.0,0.002066,9.7,9.71,9.79,,0.002066,0.017127,0.017051,0.01912,0.019077,0.016043
61241,01/05/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,9.68,9.9,9.71,22145700.0,0.001031,9.71,9.72,9.71,,0.001031,0.003374,0.003369,0.002475,0.002451,0.003116
61241,01/06/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,9.55,9.76,9.57,18651500.0,-0.014418,9.57,9.58,9.68,,-0.014418,0.002046,0.001763,0.00321,0.00318,0.000546
61241,01/07/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,9.18,9.55,9.47,26806700.0,-0.010449,9.46,9.47,9.51,,-0.010449,0.002861,0.002823,0.006887,0.006834,0.004001
61241,01/08/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,9.29,9.47,9.43,13757300.0,-0.004224,9.41,9.42,9.37,,-0.004224,0.004174,0.004174,0.00723,0.007224,0.002882
61241,01/11/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,9.08,9.44,9.14,23700000.0,-0.030753,9.14,9.15,9.38,,-0.030753,0.001141,0.00114,0.003568,0.003547,0.001747
61241,01/12/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,8.52,8.92,8.65,33392700.0,-0.053611,8.63,8.64,8.89,,-0.053611,-0.010999,-0.011009,-0.01017,-0.010224,-0.009381
61241,01/13/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,8.55,9.2,9.15,32741800.0,0.057803,9.14,9.15,8.71,,0.057803,0.008639,0.008535,0.00889,0.008648,0.008326
61241,01/14/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,8.92,9.26,9.0,22658700.0,-0.016393,9.0,9.01,9.18,,-0.016393,0.002307,0.002283,0.004431,0.004398,0.002427
61241,01/15/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,8.8,9.19,8.84,34344800.0,-0.017778,8.84,8.85,9.13,,-0.017778,-0.011328,-0.011354,-0.008664,-0.008675,-0.010823
61241,01/19/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,8.84,9.21,9.01,24875600.0,0.019231,9.01,9.01,8.84,,0.019231,0.01206,0.012057,0.011286,0.011274,0.0125
61241,01/20/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,8.755,9.0,8.87,22813500.0,-0.015538,8.86,8.87,8.98,,-0.015538,-0.011079,-0.011186,-0.009048,-0.00915,-0.010598
61241,01/21/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,8.7701,9.1,8.99,37888600.0,0.013529,8.98,8.99,9.01,,0.013529,-0.017778,-0.017802,-0.014191,-0.014217,-0.018945
61241,01/22/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.82,8.56,7.88,69136400.0,-0.123470,7.89,7.9,8.55,,-0.123470,-0.021007,-0.021048,-0.014432,-0.014439,-0.022141
61241,01/25/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.93,8.14,8.07,20568100.0,0.024112,8.07,8.08,8.01,,0.024112,0.003903,0.003893,0.000975,0.000966,0.004598
61241,01/26/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.93,8.19,8.09,20948300.0,0.002478,8.08,8.09,8.03,,0.002478,-0.004924,-0.004936,-0.006016,-0.006019,-0.004203
61241,01/27/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.91,8.22,8.19,26833100.0,0.012361,8.19,8.2,8.03,,0.012361,0.004188,0.004082,0.00188,0.001787,0.00488
61241,01/28/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.71,8.25,7.88,32087100.0,-0.037851,7.88,7.89,8.24,,-0.037851,-0.011336,-0.011444,-0.008876,-0.008945,-0.011818
61241,01/29/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.3,8.1,7.46,37457700.0,-0.053300,7.45,7.46,8.01,,-0.053300,-0.010305,-0.010329,-0.008187,-0.008227,-0.009829
61241,02/01/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.53,7.98,7.98,25476300.0,0.069705,7.96,7.97,7.61,,0.069705,0.015116,0.015089,0.011349,0.011288,0.014266
61241,02/02/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.72,7.96,7.91,21118000.0,-0.008772,7.91,7.92,7.74,,-0.008772,0.012232,0.012223,0.008665,0.008635,0.012973
61241,02/03/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.76,7.96,7.81,14524400.0,-0.012642,7.79,7.8,7.83,,-0.012642,-0.004984,-0.00526,-0.003824,-0.003951,-0.005474
61241,02/04/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.1,7.65,7.19,33172100.0,-0.079385,7.2,7.21,7.64,,-0.079385,-0.031992,-0.032039,-0.028128,-0.028184,-0.031141
61241,02/05/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,6.98,7.37,7.35,28808200.0,0.022253,7.34,7.35,7.13,,0.022253,0.002653,0.002643,0.000458,0.000434,0.002897
61241,02/08/2010,,11.0,3674,790310,AMD,ADVANCED MICRO DEVICES INC,,AMD,211,790310,,,7.28,7.62,7.42,24304200.0,0.009524,7.42,7.43,7.38,,0.009524,-0.008238,-0.008456,-0.005335,-0.005379,-0.008863
